Artist,Title,Found on Spotify?,Spotify URI,Corrections
Roy Montgomery,Jaguar Unseen,Yes,spotify:track:31z4SijEtmgf5vgGnRnFP6,
Belmont Girl,Scared,Yes,,
"Guest, Birthmark",Freeze In The Aisle ,Yes,spotify:track:5u89gt5DRZFIgsCJKXFlR5,
ssabæ,7arche,Yes,,
Christopher Bissonnette,Patina,Yes,spotify:track:5z2QksO7VAyhplkLdetj1v,
Other Joe,inky or lemon cream or lemon whiz saunters,Yes,spotify:track:2wbKHGGfPa4qi1uIGa3cQ2,
Rest Symbol,Ascending Shadow,Yes,spotify:track:1J0WDozSdbxcny9qvCtq9Z,
Niecy Blues,Soma,Yes,spotify:track:7kmAQKd3Y9sKdKH57g5RBQ,
Memotone,Rain Bells,Yes,spotify:track:2Qsj082s6vGkttloBE7xX5,
Venerandi,Only For Love,Yes,,
Charlatan,A Path Beneath The Magic,Yes,,
Belmont Girl,Burning Desire,Yes,,
Ian Manire,Laser Beam,Yes,,
Stars Of The Lid,The Daughters Of Quiet Minds,Yes,spotify:track:7enRMTKnzaeYQsBgRYmCle,
Peter Barclay,Love It In The Sun,Yes,spotify:track:6b5OPi6GVuX8bz2H9a8zOP,
Broadcast,You Can Fall,Yes,spotify:track:3YZQslKWYbra9nP3VtqQMZ,
Meshell Ndegeocello,Tie One On,Yes,,
Jill Scott,Comes To Light (Everything),Yes,spotify:track:0OjnK0DO9H6uRQjAQm0GUg,
Tarralyn Ramsey,Unconditional Love,Yes,spotify:track:6f4H1GIgcReyjFZRaAQQSG,
"Shirley Caesar, Jay Lewis, Michael Stokes",Message To The People,Yes,spotify:track:5PAFTmGp9wLuhnSZcBUqAU,
Georgia Anne Muldrow,Change (Live At KEXP),Yes,,
S. Pearle Sharpe (Take From Film Of Same Title),Back Inside Herself,Yes,,
Sly,Just Like A Baby,Yes,spotify:track:4dIC3xBFiLSsVE6SvSCx6d,
Edie Harris,I Don't Want Nobody,Yes,spotify:track:3jV9iL4dF5bzlDzNAd7P9c,
Laura Mvula,Diamonds,Yes,spotify:track:01tb2Q9KcVo63erLSq9F44,
Niecy Blues,The Architect,Yes,spotify:track:15PGSDWCKZkBbvYj3dFDl2,
Niecy Blues,Stent In Your Eye (Unreleased),Yes,,
Justin Walter,Cliff The Cloud Catcher,Yes,spotify:track:6RwZISvTllVZMInlNgNkHM,
SG,Western Affect,Yes,spotify:track:35mrUafD5SSpt83jnUitbS,
Niecy Blues,U Care,Yes,spotify:track:5bck6xj7EGZAFv4FEyekwR,
Carlos Ferreira,Living a Metaphor (feat. Lucas Protti),Yes,spotify:track:45lgUSYcom2jx3hTRJkXFy,
Ilyas Ahmed,A Dream of Something,Yes,spotify:track:5ft3amwuS7geZWsYwdPouq,
Laila Sakini,Milk,Yes,,
"CV, JAB",Dwelling,Yes,,
Laurel Halo,You Burn Me,Yes,spotify:track:5h8z0PJsALSiU9Jx1gyk0m,
Joy Guidry,Day By Bay,Yes,spotify:track:3TqglGyaFQ1ShiTHnbGwuQ,
"Mister Water Wet, Memotone",Song For Glob,Yes,spotify:track:3YTgsg7F8cXBNHZMD8ZItR,
untitled (halo),Oblique Butterfly ,Yes,spotify:track:5dd9ebFTVkmdf0QH5DA6i9,
Seven Hour Day's,Time To Shine,Yes,spotify:track:7v94O9hMsBxaQU0NiYWOLm,
Blue Smilely,Idk,Yes,spotify:track:2ocdh7YPklvEJju7o15Znk,
Brian McBride,A Gathering To Lead Me When You're Gone,Yes,spotify:track:7sJRLPMoIaLKdxQA0ZEfX5,
Kenny Wheeler,The Sweet Time Suite,Yes,spotify:track:0TPz69Knk69ZE8yhil89CB,
Jan Garbarek,"Witchi-Tai-To, A.I.R.",Yes,spotify:track:0a5y7JOanX7JrmIE9eohGj,
His Name Is Alive,"XXMER, Youngblood",Yes,,
Miles Davis,My Funny Valentine,Yes,spotify:track:42Gsr161K7jUyWOSqrdzdz,
Keith Jarrett Quartet,"Personal Mountains, Personal Mountains",Yes,,
Erik Hall,"Simeon Ten Holt: Canto Ostinato, Sections 56-73",Yes,,
Stars Of The Lid,A Meaningful Moment Through A Meaning(less) Process,Yes,spotify:track:4TrCvd1PrqI14lZb7tEtYo,
Gaiea Sanskrit,"Bhagavad Gita, Chapter 1",Yes,spotify:track:1wdgqzS4NDlSFEkKKTQ8bu,
Justin Walter,Destroyer,Yes,spotify:track:2w8zCzmeBVdOQHv553Awvo,
Nimu,Little Break,Yes,,
Ultramarine,Xylonite,Yes,spotify:track:5Y0ZiOhL9G7lgN1VEu03pd,
Minor Science,Sun Turn,Yes,spotify:track:0IULhipNEaRlDOHKcBDUBt,
"Mirenskiy, Guryanov, Kim",rutti,Yes,,
The Durutti Column,Drinking Time (Version),Yes,spotify:track:5wb2beE6V2IvflJel4LZED,
Shakkatam,Run (Dania Cover),Yes,,
Valeda,Safe Now,Yes,,
White Poppy,Sound Of Blue,Yes,spotify:track:5HoIfigYOU8jM77omXq5og,
"The Reds, Pinks & Purples",Muriel Leff,Yes,spotify:track:4okauEFwZVEfiOti023z7l,
P. Fusco,Loop I,Yes,,
Cousin,Catsu,Yes,spotify:track:0lbQaP751MUEVtK0F4A43C,
Inner Flight,Intro,Yes,,
Grouper,Down To The Ocean,Yes,spotify:track:0Eci42j6D7tsAVhOVlSuk2,
Grouper,Rising Height,Yes,,
Flash Lights,Untitled,Yes,,
Badger Lore,Green Canoe,Yes,,
Grouper,Pale Through,Yes,,
Windy And Carl,Antartica,Yes,spotify:track:519DZaZdpu5q0aSkc1wsQK,
Tim Hecker,Indigo-Orange Midnight,Yes,,
Jetone,Sputtertones,Yes,,
Keith Fullerton Whitman,A Stable Environment,Yes,,
Bowery Electric,Over And Over,Yes,spotify:track:2TICyJrSvoSXzMoFyJCu3l,
Saloli,Silhouette,Yes,spotify:track:38QBIb9E55FZ1BLoDhiQe2,
Keith Fullerton Whitman,230511-1,Yes,,
V. Kristoff,Zzyzx ,Yes,spotify:track:1GjQu6my4OqW6SxZkEZVJV,
VisFX,Throughview,Yes,,
Naemi,Porcelain Film,Yes,,
Bowery Electric,Drop,Yes,spotify:track:6rP1b3DPlAZORNPERn63IL,
The Ecstasy Of Saint Theresa,What’s,Yes,,
Takuto Kinoshita,波,Yes,,
Mo Dotti,Ever,Yes,spotify:track:5ENzWvtEWn9uu2L6s3e28L,
Kinoue64,あなただけ,Yes,,
they are gutting a body of water,kmart amen break,Yes,spotify:track:5ZmZfrXm35ak5SYvO9kAKk,
Kenneth James Gibson,Far From Home,Yes,spotify:track:2OjSwFUulIrLgsJidJrLnA,
Dania,Piano Sax,Yes,spotify:track:73CXy3pFFKHnE15b5lDVBy,
Alexander Grawoig,Movement 3,Yes,,
Light,Passing,Yes,,
Amp,Eternity,Yes,spotify:track:6qOC421f3Oz0YROMLXdvzF,
"Se Jong Cho, Marc Miller",04.02.18,Yes,spotify:track:711RtMf28SyX26n8IIhUON,
Cloudland Canyon,Bad Decision,Yes,,
Roy Montgomery,Above The Canopy,Yes,spotify:track:4Oa6hJgVp1gUU9c6CH1KTs,
Raglani,Length Of Rodeo,Yes,,
