Artist,Title,Found on Spotify?,Spotify URI,Corrections
Rene Y Rene,Angelito,Unknown,,
Lucho Gatica,Solamente Una Vez,Unknown,,
Leonardo Paniagua,Si Ardiera La Ciudad,Unknown,,
Irene Rivas,Vida Mia,Unknown,,
Chelo,Dos Gotas De Agua,Unknown,,
Javier Solís,Besame Y Olvidame ,Unknown,,
Carmen Delia,Conozco La Verdad,Unknown,,
Los Angeles Negros,Encadenados,Unknown,,
Irene Rivas,Collar De Penas,Unknown,,
Armando Manzanero,Cuando Estoy Contigo,Unknown,,
Julio Jaramillo,Amar Y Vivir,Unknown,,
Toña La Negra,Cada Noche Un Amor,Unknown,,
Agustin Lara,Piensa En Mi,Unknown,,
Chelo Silva,Imploracion,Unknown,,
Los Jaibos,Ya Es Muy Tarde,Unknown,,
Pedro Infante,Flor Sin Retoño,Unknown,,
Los Destellos,Para Elisa,Unknown,,
Billo's Caracas Boys,Juanita Bonita,Unknown,,
Jose Loco,Jive Mambo,Unknown,,
Sunny & The Sunliners,Cien Anos,Unknown,,
"Arcadio Molinar, The Strangers",Confesion,Unknown,,
Los Terricolas,Tu Vida Es Mi Vida,Unknown,,
Joey Pastrana,Noche De Ronda,Unknown,,
Bienvenido Granda,Calla,Unknown,,
Los Tecolines,Ahora Y Siempre,Unknown,,
Los Tres Aces,Contigo En La Distancia,Unknown,,
Los Dos Oros,Un Sueño De Tantos,Unknown,,
Sunny And The Sunliners,Vestido Blanco,Unknown,,
Irene Rivas,Si Supieras La Verdad,Unknown,,
Conjunto Africa,Fango,Unknown,,
Rolando Aguilo Y Su Conjunto,Mambologia Mambo,Unknown,,
Roberto Angleró Y Su Combo,Abicú,Unknown,,
Azabache,This Moment,Unknown,,
Cachao,Malanga Amarilla,Unknown,,
Orquesta Colon,Así Vivo Yo,Unknown,,
Cortijo Y Su Nuevo Combo,Pica Pica,Unknown,,
Joe Cuba Sextet,Bochinchosa,Unknown,,
Descarga Super Combo,Descarga Super Combo,Unknown,,
"Papo Felix, Ray Rodriguez",Para Puerto Rico Voy,Unknown,,
Celina González,La Grimas Negras,Unknown,,
"Baby  Gonzalez, Orq Riviera",Oye Mi Guaguancó,Unknown,,
Wayne Gorbea,Los Rumberos,Unknown,,
Rafael Labasta Y Su Orq,Yo Soy El Guaguancó,Unknown,,
Elis Regina,É Com Esse Que Eu Vou -Ensaio MPB Especial,Unknown,,
Marcos Valle,Fogo Do Sol,Unknown,,
Eduardo Mateo & Diane Denoir,Señora Diana La Ví,Unknown,,
Luiz Bonfa,Enchanted Mirror,Unknown,,
Elis Regina,20 Anos Blue,Unknown,,
Ana Mazzotti,Bairro Negro ,Unknown,,
"Milton Nascimento, Lô Borges",Estrelas,Unknown,,
"Milton Nascimento, Lô Borges",Clube Da Esquina Nº 2,Unknown,,
"Joyce Moreno, Nana Vasconcelos, Mauricio Maestro",Jardim Dos Deuses,Unknown,,
Gal Costa,Lágrimas Negras,Unknown,,
Manduka,Naranjita,Unknown,,
"Caetano Veloso, João Gilberto, Gilberto Gil",Cordeiro De Nanã,Unknown,,
Jorge Ben Jor,A Tamba,Unknown,,
Arthur Verocai,Que Mapa?,Unknown,,
"Wayne Shorter, Milton Nascimento",Ponta De Areia,Unknown,,
Cassiano,A Lua E Eu,Unknown,,
Gal Costa,Passarinho,Unknown,,
Caetano Veloso,Oração De Mãe Menininha Voz E Violão,Unknown,,
Sunny & The Sunliners,Intro B,Unknown,,
Sunny & The Sunliners,Open Up Your Love Door,Unknown,,
Sunny And The Sunliners,Pa Que Sientas Lo Que Siento,Unknown,,
Sunny And The Sunliners,Sunliner Serenade (Assokam),Unknown,,
Sunny And The Sunliners,Talk To Me,Unknown,,
Sunny & The Sunliners,La Ciudades,Unknown,,
Sunny And The Sunliners,Cariño Nuevo,Unknown,,
Sunny & The Sunliners,El Reloj,Unknown,,
Sunny & The Sunliners,Runaway Live,Unknown,,
