Artist,Title,Found on Spotify?,Spotify URI,Corrections
"No Doubt, Lady Saw",Underneath It All,Yes,spotify:track:6fR6Z0Vc1K6yQWNUIKjAIR,
DJ Babatr,To-K,Yes,spotify:track:3krMW85c3YU8KvyNMNs9ck,
Zach Bryan,Nine Ball,Yes,spotify:track:3xOi0YhDREKRURFHoNaAOQ,
Monica,For You I Will,Yes,spotify:track:2b29qJRy4asbQNFjPO96XC,
"Kabza De Small, Mthunzi, MaWhoo",Amazwe,Yes,,
Linda Martell,Before The Next Teardrop Falls,Yes,spotify:track:2s5sF6RXjUkCdQfTsfjoCC,
Grupo Cañaveral De Humberto Pabón,Pídeme La Luna,Yes,spotify:track:7oJHz4KpWxvE6I8LMKqEGG,
Carin León,Primera Cita,Yes,spotify:track:3fJHbMUnzceimOnNjp63fF,
Jastin Martin,Mean Well,Yes,spotify:track:6jVNWlX1gDW2omp9TxDF4h,
"Bizzarap, Young Miko","Young Miko: Bxrp Music Sessions, Vol. 58",Yes,spotify:track:6VciS3dRMpZhJiDxT8ArFi,
Myke Towers,LA FALDA,Yes,spotify:track:7iUtQNMRB8ZkKC4AmEuCJC,
HONESTAV,Both Dead,Yes,spotify:track:1Rhr3peXTsacp3Yzcnctyt,
ERRE,Nada es Igual,Yes,spotify:track:3ExycM3hsqRMC4FAOcFT9k,
"Adan La Amenaza, Jairo Vera, Bryiton",Te Encanta,Yes,spotify:track:3WUFTFFz8hVOKLiXd6notP,
Lilithzplug,CLEARED Remix,Yes,spotify:track:54L7uacUGRkvoLokUlNWfH,
Sadboi,Potential,Yes,spotify:track:7N3MtUnlmXlrNe9Zs85Qjy,
Anycia,REFUND,Yes,spotify:track:3DHybk9XQCME6I7vmfweHW,
ToniTega,LA TRAVESÍA,Yes,,
"Eugenio Esquivel, Grupo Marca Registrada Sebastian Esquivel",Alucin,Yes,spotify:track:6ED7qim1NAX1HjNU8039WS,
"Tainy, J Balvin, Young Miko, Jowell & Randy",Colmillo,Yes,spotify:track:15U5RHzuLMPNFThQqfKL0U,
YG Marley,Praise Jah In The Moonlight,Yes,spotify:track:3h5TiWTqGxjSjFrbruPFH9,
Lvbel C5,DOGUSTAN BERI HAKLIYIM,Yes,spotify:track:2M7BEoyAzxLBKgnFQqUGmF,
Mnelia,Say Yeah,Yes,spotify:track:1GDCzlN4snSHiYxxvO9Fhg,
