Artist,Title,Found on Spotify?,Spotify URI,Corrections
Shakespear,Trilogy: Just Like a Woman; Alberta; Make it With You,Unknown,,
Thomas Gray,Ode On The Death Of A Favourite Cat Drowned In A Tub Of Gold Fishes,Unknown,,
The Muzik Makers,Psaltery Solo No. 2,Unknown,,
The Boys Of Holmewood House,Colours,Unknown,,
Malcolm Price,Red Balloon,Unknown,,
Robin Lent,Ocean Liner Woman,Unknown,,
Keith James & Andy Kerr,I Need You Babe,Unknown,,
Capricorn,Video King,Unknown,,
No Hat Moon,It's Only The Rain,Unknown,,
Catherine Howe,God Help The Ones,Unknown,,
Come Aboard! QE2,Black Cat Bones,Unknown,,
Linn County,Lower Lemons,Unknown,,
Leon & Malia,The Hurdy Gurdy Man,Unknown,,
Tom Newman,Sleep,Unknown,,
James Simmons,Ladies Man,Unknown,,
Spindrift,Four Quarters,Unknown,,
"Gereon Piller, Gerhard Krause",Blue Winter,Unknown,,
Werner Prassl,Richland Woman Blues,Unknown,,
Norman Teeling,Two Rainbows,Unknown,,
Dave Burland,His Name Is Andrew,Unknown,,
Maurizio Angeletti,Morning Sun Haiku,Unknown,,
Roberto Menabò,Le Ragazze Hanno Gli Occhi Di Rubino Quando Suona Atahualpa Yupangui,Unknown,,
Franco Morone,Rockin' Blues,Unknown,,
Giovanni Unterberger,Golden Hearted City Employee,Unknown,,
Maurizio Angeletti,Good Hands,Unknown,,
Maurizio Angeletti,On The Shady Side Of The Ocean,Unknown,,
Enrico Marcandalli,L’Ombrello Cinese (The Chinese Umbrella),Unknown,,
Maurizio Angeletti,Zen & The Stone Game,Unknown,,
Roberto Menabò,Il Ritorno Dell'Enola Gay,Unknown,,
Giovanni Palombo,Pesco Fuor D’Acqua (Fish Out Of Water),Unknown,,
Alessandro Cocchi,Felix Leo,Unknown,,
Roberto Menabò,A Due Passi Dal Sunflower,Unknown,,
Maurizio Angeletti,Sawmill Obsession,Unknown,,
Enrico Marcandalli,Variazone Cromatica,Unknown,,
Maurizio Angeletti,"Wind’s Gonna Blow Your Blues Away, Poor Boy",Unknown,,
Jon Mark,Blues For Hobbits,Unknown,,
John The Fish,Goodbye To Monday Night,Unknown,,
Hedgehog Pie,The Gardener,Unknown,,
Breeze,Hooked On You,Unknown,,
Jerry Thomas,Love Strain,Unknown,,
Nino & Radiah,The South,Unknown,,
Cyril Lefebvre,Cocaine Blues,Unknown,,
Tyke,Morgan’s Privateers,Unknown,,
Dragonsfire,Dancer Tiptoe,Unknown,,
Sue Seek,American Man/American Lover,Unknown,,
Ed Watson & His Brass Circle,Rise,Unknown,,
"Chris, Kylie",Feelin' Good,Unknown,,
Keith Husbands,Call The Wind Maria,Unknown,,
Thos. Rapp,I’m Going To City,Unknown,,
Tony Mason,To Judy,Unknown,,
John The Fish,A Leaf Must Fall,Unknown,,
The Settlers,Dream,Unknown,,
Howard Menger,Narration By Howard Menger Noted Lecturer And Author On Outer Space Flying Objects And Persons From Other Planets,Unknown,,
Howard Menger,The Song From Saturn (Music From Another Planet),Unknown,,
Michael Gramlich,The Godsinger Experience In Creating Oneness,Unknown,,
Warren James & Friends,Floating On A Dark Wind,Unknown,,
Daniel Lentz,On The Leopard Altar,Unknown,,
Фирюза,Край Родной,Unknown,,
Walsall Youth Jazz Orchestra,Aja,Unknown,,
Maggie Holland,Just Like Tom Thumb's Blues,Unknown,,
Suzanne Chawner,Blues Run The Game,Unknown,,
Good Egg,Space Oddity,Unknown,,
The Golliard,Without You,Unknown,,
Doctor John - John F. Wands,Magnolia,Unknown,,
The Crown Folk,Long About Now,Unknown,,
Brenda Wootton,Lyonesse,Unknown,,
Jane Roman-Pitte,Jai Guru Dev,Unknown,,
Ananda Thaliah,This Is Why I Sing,Unknown,,
Phyl Sheridan,Black Gypsy,Unknown,,
Moths,I Shall Be Released,Unknown,,
Alex Atterson,Sweet Slavery,Unknown,,
Mike Heron,Gauguin in the South Seas,Unknown,,
Hedgehog Pie,Dreamer,Unknown,,
Chris Maerten,Sunday,Unknown,,
Bob Hughes,Drifting Away,Unknown,,
Blackthorne,After The Goldrush,Unknown,,
Good Egg,After The Goldrush,Unknown,,
The Cotswold Folk,After The Goldrush,Unknown,,
Cheltenham Grammar School 1st Year Percussion Group,Improvisation,Unknown,,
Mary Barnes,Three Candles,Unknown,,
Archimedes Badkar,Tumpianomusik,Unknown,,
Petals For The Altar,Ridhi Sidhi Data,Unknown,,
Sue Downer & Arthur Hendrie,Phasin' Out,Unknown,,
Nico Assumpção,Zona Oest,Unknown,,
Best Friends,Raizkozmik,Unknown,,
Jonathon Round,Sympathy For The Devil,Unknown,,
J. Rider,Kiss Of Your Soul,Unknown,,
The Contents Are,Recurring Changes,Unknown,,
These Are My Uncles,Hey Hey,Unknown,,
Paul Witherspoon,Get Away,Unknown,,
Siren,Boy’s Club,Unknown,,
Automatic D’Lamini,I Don’t Want To Hurt My Father (But I’m In Love),Unknown,,
Annie Lewis,The Lass With The Delicate Air,Unknown,,
Mandy Morton Band,Valley Of Light,Unknown,,
Jumpleads,False Knight On The Road,Unknown,,
Cheltenham Grammar School Folk Group ‘Eclipse',I Think I’m Crying,Unknown,,
Dando Shaft,Gloworm,Unknown,,
Christopher Logue,"Rat, O Rat...",Unknown,,
Robbie Basho,Bhupali,Unknown,,
Michel Haumont,Mayaguana,Unknown,,
Peter Stark,Raga For Bayleaf,Unknown,,
S.T. Mikael,Bom Bom Mahadev,Unknown,,
A Cid Symphony,Pierced Hand Number 1,Unknown,,
Christopher Logue,The Song Of The Imperial Carrion,Unknown,,
Concert Dans L’œuf,A Santa Maria Dadas,Unknown,,
The Habibiyya,Mandola,Unknown,,
"Torkom Saraydarian, The High Mountain Band",More Radiant Than The Sun,Unknown,,
Enrico Marcandalli,Giardini D’Oriente,Unknown,,
Magic Carpet,All The Sins Of Man,Unknown,,
Mark T. & Brickbats,Ashkebad,Unknown,,
